payee,category,work_details,lpo_number,plo_sum,invoice_number,date_recorded,start_date,end_date,completion_status,cumulative_amount_invoiced,amount_paid,outstanding_amount,verified,comments,support_documents,,
David K. Muriuki & John K. Maina,Recurrent,Repair of motorvehicle GKA 120P,1201414," 195,000.00 ",139,5/31/2017,31/05/2017,20/04/2017,Complete,"195,000.00", -   ," 195,000.00 ",,original,√  ,,
David K. Muriuki and John Maina,Recurrent,Motor vehicle repairs KBY 075 C,1201232," 120,000.00 ",143,4/30/2017,,,Complete,"120,000.00", -   ," 120,000.00 ",,original document,√  ,,
Dertuu Construction Company Limited,Development,Construction of dispensary at Lafe,1198259," 4,194,148.20 ",2,3/1/2016,19/11/2016,42738,Complete,"4,194,148.20", -   ," 4,194,148.20 ",,original,√  ,,
Dhamballa Buyyo Contractors Limited,Development,Heavy Grading and Gravel Patching of Shabachafa -joy camp to kobi keremsa,ICG/052/2015/2016/401," 4,496,645.00 ",003,3/28/2017,,,Complete,"4,496,645.00", -   ," 4,496,642.60 ",,original,√  ,,
Dhiid And Company limited,Recurrent,Transport services,1198108," 125,000.00 ",1208,1/24/2017,,,Complete,"125,000.00", -   ," 125,000.00 ",,original document,√  ,,
Diaco Agencies Ltd,Recurrent,Cleaning Services,1201296,,35,not dated,,,Complete,,," 600,000.00 ",,,X,,
Dirre Pharmacy ,Recurrent,Supply of drugs,2273047," 1,000,000.00 ",1164,,,,Complete,"1,000,000.00", -   ," 1,000,000.00 ",,original,√  ,,
Donben General Supplies,Recurrent,Supply of Radioptherapy items,2206028," 608,520.00 ",164,Not Dated,22/02/2017,nil,Complete,"608,500.00", -   ," 608,520.00 ",,original,√  ,,
Donben General Supplies,Recurrent,Supply of non-pharmaceuticals,2206033," 1,217,000.00 ",163,Not Dated,42771,nil,Complete,"1,217,000.00", -   ," 1,217,000.00 ",,original,√  ,,
Donben General Supplies,Recurrent,Supply of stationeries,,,,,,,Complete,,," 382,000.00 ",,,X,,
Drylands Development Company,Development,"Consultancy Services develop peace, cohesion and integration strategic plan 2014/2016",ICG/RFP/2014/2016,,DDCL/ICG/001/2015,12/19/2015,,,Complete,, -   ," 4,021,700.00 ",,,X,,
Earthlink Solar Limited ,Recurrent,Supply of computer accessories,2273123," 70,000.00 ",057,Not dated ,,,Complete,"70,000.00",," 70,000.00 ",,original,√  ,,
Earthlink Solar Limited ,Recurrent,Supply of stationeries,2273122," 200,015.00 ",005,Not dated ,,,Complete,"200,015.00",," 200,015.00 ",,original,√  ,,
Earthlink Solar Ltd,Development,construction of workshop shed and fencing of Uhuru Polytechnic,ICG/098/2016/2017," 2,417,080.00 ",056,Not Dated,,,Complete,"2,417,080.00",," 2,417,080.00 ",,original,√  ,,
Ecoh Conso Co. Ltd,Recurrent,printing of posters,1027395," 1,218,000.00 ",11,4/20/2015,,,Complete,"1,218,000.00"," 730,800.00 "," 487,200.00 ",,original document,√  ,,
Ecoh Conso Ltd,Recurrent,Consultancy services to Develop County Investment Plan,1201161," 3,564,650.00 ",51,2/2/2016,,,Complete,"3,564,650.00", -   ," 3,564,650.00 ",,original document,√  ,,
Elite Projects Consultancy ltd,Development,"Consultancy fees for Architectural services, Quantity surveying services, Electrical  and Mechanical Engineering services and civil/structural Engineering services for completion of lot 1 & lot 2 isiolo county abattoir",ICG/EO1/01/2015-2016," 8,732,648.85 ",02,9/16/2016,,,Complete,"8,732,648.85", -   ," 8,732,648.85 ",,,√  ,,
Emearise,Recurrent,Supply of stationeries,2273375," 900,900.00 ",1002017,not dated,,,Complete,"900,900.00", -   ," 900,900.00 ",,original document,√  ,,
Ensille Enterprises,Recurrent,Car hire,,,015,1/24/2017,,,Complete,,," 1,500,000.00 ",,photo copy,√  ,,
Extreme Media Solutions,Recurrent,Visual and public address system,1198451," 2,897,680.00 ",1475,not dated,,,Complete,"2,897,680.00", -   ," 2,897,680.00 ",,original document,√  ,,
Fafachane Construction Company Ltd,Recurrent,supply of computer accessories,2196696," 119,000.00 ",034,12/2/2016,42684,42706,Complete,"119,000.00", -   ," 119,000.00 ",Complete,Original,√  ,,
Fafachane Construction Limited,Recurrent,Supply of office stationeries,2206442," 20,800.00 ",91,9/29/2015,,,Complete,"20,800.00", -   ," 20,800.00 ",Complete,,√  ,,
Fafachane Construction Limited,Recurrent,Supply of office stationeries,2206414," 8,500.00 ",83,9/20/2015,,,Complete,"8,500.00", -   ," 8,500.00 ",Complete,,√  ,,
Fafachane Construction Limited,Recurrent,Supply of office cleaning materials & Stationeries,2206416," 54,450.00 ",86,9/26/2015,,,Complete,"51,450.00", -   ," 54,450.00 ",Complete,,√  ,,
Fafachane Construction Limited,Recurrent,Supply of office cleaning materials & Stationeries,2206415," 31,385.00 ",90,9/26/2015,,,Complete,"31,385.00", -   ," 31,385.00 ",Complete,,√  ,,
Fafachane Construction Limited,Recurrent,Supply of Mineral Water,2206433," 48,000.00 ",93,9/29/2015,,,Complete,"48,000.00", -   ," 48,000.00 ",Complete,,√  ,,
Fagol  Limited,Recurrent,supply of stationery,2159171,,64,10/12/2015,,,Complete,,," 3,400,000.00 ",,,X,,
Fagol  Limited,Recurrent,Supply of stationaries,2635748,,not numbered,1/1/2016,,,Complete,,," 500,000.00 ",,,X,,
Fagol Limited,Recurrent,Supply of office stationeries,2635901," 87,500.00 ",045,4/7/2016,,,Complete,"87,500.00", -   ," 87,500.00 ",Complete,,√  ,,
Fagol Limited,Recurrent,Supply of sanitary and cleaning materials,ICG/298/2014/2016," 874,500.00 ","60,61 & 68",3/20/2016,,,Complete,"874,500.00",," 874,500.00 ",,Original,√  ,,
fagol limited,Development,supply of portable paqua lab,2159411,,3026,27/05/2014,26/5/2014,30/6/2014,Complete,"2,867,565.00", N/A ," 2,867,565.00 ",ORIGINAL,,√  ,,
Fagol Limited,Development,Fencing of Merti Cemetry,,,,,,,Complete,,," 2,530,932.00 ",,,√  ,,
Fagol Ltd,Recurrent,Supply of 10 Executive Tables,2273272," 1,210,000.00 ",068,15/9/2015,,,Complete,"1,210,000.00", -   ," 1,210,000.00 ",,original support documents attached,√  ,,
Fagol Ltd,Recurrent,Supply 10 Executive Chairs,2159207," 189,000.00 ",021,10/9/2015,,,Complete,"189,000.00", -   ," 189,000.00 ",,original support documents attached,√  ,,
Fagol Ltd,Recurrent,Executive chairs,2206431," 441,000.00 ",038,9/10/2015,,,Complete,"441,000.00", -   ," 441,000.00 ",,original support documents attached,√  ,,
Fagol Ltd,Recurrent,Office equipment,2196656,,,,,,Complete,, -   ," 547,000.00 ",,,X,,
Fagol Ltd,Recurrent,Office Furniture  ,2196568," 1,203,950.00 ",3032,24/6/2014,,,Complete,"1,204,000.00"," 547,000.00 "," 657,000.00 ",,original document,√  ,,
Fahali Construction Company Ltd,,Renovation Work to Low Grade Block at Isiolo Complex,ICG/QTRS/19/2013/2014," 4,523,025.60 ",106,5/19/2014,,,Complete,"4,523,025.60"," 4,523,025.60 ", -   ,,Original,√  ,,
Fahali Construction Company Ltd,Development,Renovation Work to Medium Grade Block at Isiolo Complex,ICG/QTR/019/2013/2014," 2,199,399.00 ",105,5/19/2014,,,Complete,"2,199,399.00"," 2,199,399.00 ", -   ,,Original,√  ,,
Fairway Co. Ltd,Recurrent,Food Ratio,2273339," 500,000.00 ",009,10/5/2016,,,Complete,"500,000.00", -   ," 500,000.00 ",,photo copy,√  ,,
Fairway Co. Ltd,Recurrent,Food Ratio,2273311," 340,500.00 ",007,25/04/2017,42850,25/04/2017,Complete,"340,500.00", -   ," 340,500.00 ",,photo copy,√  ,,
Falcon Global Logistic Co. Ltd,Development,Relief food,3011771,,11,,,,Complete,, -   ," 8,440,000.00 ",,,√  ,,
Fanusa Investment Ltd,Recurrent,Relief food ,2159493," 3,990,000.00 ",009,6/29/2016,,,Complete,"3,990,000.00", -   ," 3,990,000.00 ",,Photo copy,√  ,,
Fanusa Investment Ltd,Recurrent,Relief food,2159495," 3,990,000.00 ",010,6/29/2016,,,Complete,"3,990,000.00", -   ," 3,990,000.00 ",,Photo copy,√  ,,
Faraj Investment Limited,Development,construction of ECD classroom at Mwangaza Primary School,ICG/053/EDU/ECD/2015/2016/E," 1,200,170.80 ",01,1/13/2017,,,Complete,"1,200,170.80",," 1,200,170.80 ",,original,√  ,,
Fishnet Enterprises Ltd,Development,supply of Relief food-Merti Sub county,3011825," 3,611,000.00 ",025,11/2/2014,,,Complete,"3,611,000.00", -   ," 3,611,000.00 ",,original document,√  ,,
Fishnet Enterprises Ltd,Development,Supply Relief food Merti Ward,3011826," 3,609,000.00 ",26,11/8/2014,,,Complete,"3,609,000.00", -   ," 3,609,000.00 ",,original document,√  ,,
Four Silver Transporters Ltd,Development,Rehabillitation of merti water supply and office block,ICG/301/2016/2017,,015,4/1/2017,42737,30/6/2017,Complete,"3,113,076.00", N/A ," 3,113,076.00 ",ORIGINAL,,√  ,,
Friend of Nomads,Recurrent,Transport services,1335849," 225,000.00 ",20,12/8/2016,,,Complete,"225,000.00", -   ," 225,000.00 ",,original document,√  ,,
Friend of Nomads,Recurrent,Transport services,1198265," 300,000.00 ",52,1/1/2006,,,Complete,"300,000.00", -   ," 300,000.00 ",,original document,√  ,,
Friends of Nomads,Recurrent,Consultancy services(part payment),ICG/RFQ/2016/2017/001," 4,524,000.00 ",31,1/23/2017,,,Complete,"4,524,000.00"," 2,200,000.00 "," 2,324,000.00 ",,Photocopy document,√  ,,
Friends of Nomads Enterprise Limited,Development,Extension of access road grading and murraming to lagoons(additional work) to abattoir,Icg/128/2016/2017," 4,988,797.00 ",26,3/23/2017,19/1216,42786,Complete,"4,988,797.00", -   ," 4,988,797.00 ",,budgettted for in the curreny year ,√  ,,
Friends of Nomands Enterprises Ltd,Recurrent,supply of stationeries balance payment,2273117,,36,11/18/2016,19/11/2016,30/6/2017,Complete,"200,000.00"," 151,000.00 "," 49,000.00 ",COPY,PART PAYMENT,√  ,,
Friends of Nomands Enterprises Ltd,Development,Hydro-geological study for new borehole,,,,,19/12/2016,30/6/2017,Complete,"1,938,000.00", N/A ," 1,938,000.00 ",COPY,NO INVOICE,√  ,,
Friends of Normads Enterprises,Recurrent,Supply of Non-Pharmaceutical Goods,NIL, NIL ,019,23/6/2016,nil,23/06/2016,,"1,245,000.00", -   ," 1,245,000.00 ",,original,√  ,,
Frolin Agencies,Development,Construction of ECD classroom at st. Kizito Primary,Not Attached," 1,197,607.20 ",001,2/23/2017,,,Complete,"1,197,607.20",," 1,197,607.20 ",,original,√  ,,
Fulcayo Group Limited,Recurrent,Supply of cleaning materials,3011831/2," 200,000.00 ",182,5/17/2017,17/05/2017,43044,Complete,"200,000.00",," 200,000.00 ",,the whole LPO amount is not paid. The document are originals,√  ,,
Garse Enterprises Ltd,Development,Renovation of existing ECD Classroom at Ramadhan Primary School,1128055," 1,998,250.00 ",N/A,N/A,,,Complete,"1,998,250.00",," 1,998,250.00 ",,photocopy,√  ,,
Gashe Base Store,Recurrent,Supply of food ration,2159499/500," 1,046,800.00 ",none,not dated,,,Complete,"1,046,800.00"," 1,000,000.00 "," 46,800.00 ",,Original,√  ,,
Gashe Base Store,Recurrent,Supply of food ration,2206131," 1,104,600.00 ",not numbered,not dated,,,Complete,"1,104,600.00"," 600,000.00 "," 504,600.00 ",,Original,√  ,,
Gashe Base stores ,Development,supply of Relief food- Burat ward,2206132," 4,575,000.00 ",6,not dated,,,Complete,"4,575,000.00", -   ," 4,575,000.00 ",,original document,√  ,,
Gate A Africa,Recurrent,Supply of variouse item- 3rd council of governors conference in Meru,1201106," 2,487,500.00 ",No number,4/19/2016,,,Complete,"2,487,500.00", -   ," 2,487,500.00 ",,Original,√  ,,
Gate A Africa,Recurrent,Printing of calenders 2015,ICG/PRINTING/T05/2014/2016," 2,995,000.00 ",A00005,1/20/2017,,,Complete,"2,995,000.00"," 1,520,000.00 "," 1,420,000.00 ",,Original,√  ,,
Gayoo prime Agencies,Recurrent,Supply of computer accessories,2206300," 540,000.00 ",08,6/25/2015,,,,"540,000.00",," 540,000.00 ",,Original copy,√  ,,
Gayoo Prime Agencies,Recurrent,Supply of media equipments,2206212,,099,n/a,19/10/2015,30/6/2016,Complete,"951,000.00", -   ," 951,000.00 ",ORIGINAL,,√  ,,
Geomeasure Surveyors,Recurrent,land survying Burat Kinna,,, 209/ 214,07/03/2014 &10/09/2014,,,Complete,,," 7,480,000.00 ",,,√  ,,
Geomeasure Surveyors,Recurrent, Land Surveying Kambi Garba,,,216,18/03/2016,,,Complete,,," 6,554,910.00 ",,,√  ,,
Geomeasure Surveyors Ltd,Development,Downpayment of 40% of Contract Sum for Planning and mapping of Ngaremara Settlement Scheme,ICG/RFP/2014/2016/015," 10,747,350.00 ",215,18/03/2016,29/05/2015,not dated,Unknown,"4,298,950.00", -   ," 4,298,940.00 ",,,√  ,,
Geomeasure Surveyors Ltd,Development,Downpayment of 40% of Contract Sum for Planning and mapping of Kambi Garba ,ICG/RFP/2014/2016/015," 10,924,850.00 ",216,5/11/2016,18/03/2016,29/05/2016,Unknown,"4,369,940.00",," 4,369,940.00 ",,,√  ,,
Geomeasure Surveyors Ltd,Development,Proposed digital mapping,ICG/031/2013-2014," 37,400,000.00 ",129,7/3/2014,13/02/2014,not dated,Unknown,"14,960,000.00",," 14,960,000.00 ",,,√  ,,
Gitonga Construction Co. Ltd,Development,Construction of extension of Trade Building,ICG/062/2014/2016/012, 8.00 ,n/a,1/16/2017,,,Complete,"6,012,000.00"," 5,020,000.00 "," 1,149,214.60 ",,Original,√  ,,
Grande Hotel,Recurrent,catering service,," 600,000.00 ",470,7/13/2016,,,Complete,"600,000.00", -   ," 600,000.00 ",,original,√  ,,
Grande Hotel,Recurrent,Catering ,1027375," 336,000.00 ",321,8/24/2015,,,Complete,"336,000.00", -   ," 336,000.00 ",,,√  ,,
Grande Hotel,Recurrent,Catering ,1198238," 531,600.00 ",1020,7/5/2015,,,Complete,"531,600.00", -   ," 531,600.00 ",,,√  ,,
Grande Hotel,Recurrent,Catering ,1198093," 507,100.00 ",411,10/19/2015,,,Complete,"507,100.00", -   ," 507,100.00 ",,,√  ,,
Grande Hotel,Recurrent,Catering ,1335720," 494,000.00 ",422,12/14/2015,,,Complete,"494,000.00", -   ," 494,000.00 ",,,√  ,,
Grande Hotel ,Recurrent,Catering ,1335723," 271,000.00 ",433,1/25/2016,,,Complete,"271,000.00", -   ," 271,000.00 ",,,√  ,,
Grande Hotel ,Recurrent,Catering ,1335721," 397,800.00 ",402,8/24/2015,,,Complete,"397,800.00", -   ," 397,800.00 ",,,√  ,,
Grande Hotel ,Recurrent,Catering ,1198091," 151,200.00 ",442,3/30/2016,,,Complete,"151,200.00", -   ," 151,200.00 ",,,√  ,,
Grande Hotel ,Recurrent,Catering ,1198090," 122,400.00 ",446,4/7/2015,,,Complete,"122,400.00", -   ," 122,400.00 ",,,√  ,,
Grande Hotel ,Recurrent,Catering ,1198124," 353,000.00 ",453,5/25/2016,,,Complete,"353,000.00", -   ," 353,000.00 ",,,√  ,,
Grande Hotel ,Recurrent,Catering ,1335723," 297,700.00 ",485,8/17/2016,,,Complete,"297,700.00", -   ," 297,700.00 ",,,√  ,,
Grande Hotel ,Recurrent,Catering,1335748," 44,400.00 ",396,10/13/2016,,,Complete,"44,400.00", -   ," 44,400.00 ",,,√  ,,
Grande Hotel ,Recurrent,Catering ,1335769," 585,000.00 ",1047,11/24/2015,,,Complete,"585,000.00", -   ," 585,000.00 ",,,√  ,,
Green Acres communication,Recurrent,Hire of Tents and Public Address system-Day of African Children,1027387," 181,900.00 ",294,7/1/2015,,,Complete,"181,900.00", -   ," 181,900.00 ",,original document,√  ,,
Green Acres communication,Recurrent,Facilitation of mashujaa Day Celebrations,1198246," 155,000.00 ",268,10/11/2016,,,Complete,"155,500.00", -   ," 155,500.00 ",,original document,√  ,,
Green Acres communication,Recurrent,Hire of Tents chairs and table cover during jiggers campaign,1027389," 141,900.00 ",271,6/29/2015,,,Complete,"141,900.00", -   ," 141,900.00 ",,original document,√  ,,
Habibani Enterprises,Recurrent,Car Hire,ISL/CTY/CONF/10/VOL1," 5,480,000.00 ",1275/76/77/78/79/80/81/82/83,7/31/2014,,,Complete,"5,480,000.00", -   ," 5,480,000.00 ",,court case,√  ,,
Habibani Ltd,,"Grading, bush clearing and gravelling of Merit - Bulesa- Baisa Road",9175580,,,,,,,"9,989,140.40"," 9,989,140.40 ", -   ,,,X,,
Habibty Investment,Recurrent,stationeries,3011787," 100,970.00 ",6,4/10/2017,,,Complete,"100,970.00", -   ," 100,970.00 ",,,√  ,,
Haista neurotech pharmceuticals,Recurrent,Supply of drugs,2477453," 3,400,000.00 ",1,10/23/2015,27/5/2015,23/10/2015,Complete,"3,400,000.00", -   ," 3,400,000.00 ",,photo copy,√  ,,
Haista neurotech pharmceuticals,Recurrent,Supply of drugs,2635750," 400,000.00 ",21,7/19/2016,NIL,19/07/2016,Complete,"400,000.00", -   ," 400,000.00 ",,photo copy,√  ,,
Haista neurotech pharmceuticals,Recurrent,Supply of drugs,2273042," 788,460.00 ",14,12/4/2016,22/06/2016,42831,Complete,"788,460.00", -   ," 788,460.00 ",,photo copy,√  ,,
Haista neurotech pharmceuticals,Recurrent,Supply of lab reagents,2635723," 798,000.00 ",247,6/8/2016,,,Complete,"798,000.00", -   ," 798,000.00 ",,original,√  ,,
Halfatu Enterpises Ltd,Recurrent,"Office furniture, equipments and stationeries",2171270," 654,000.00 ",8,16/2/2014,42096,18/02/2015,Complete,"654,000.00",," 654,000.00 ",,the whole LPO amount is not paid. The document are originals,√  ,,
Halfatu Enterpises Ltd,Recurrent,"Supply Printer, Laptops Flash Disk and Tonner",2171267," 515,500.00 ",006,16/02/2014,42096,18/02/2018,Complete,"515,500.00",," 515,500.00 ",,the whole LPO amount is not paid. The document are originals,√  ,,
Halfatu Enterpises Ltd,Recurrent,supply office stationeries ,2171268/9," 195,510.00 ",107,2/16/2015,42096,18/02/2015,Complete,"195,510.00",," 195,510.00 ",,the whole LPO amount is not paid. The document are originals,√  ,,
Halfatu Enterprises Limited,Recurrent,"supply of Air conditioner ,fridge and water dispenser Balance",2158069," 150,000.00 ",101,6/24/2015,,,Complete,"150,000.00",," 150,000.00 ",,,√  ,,
Halfatu Enterprises Limited,Recurrent,Supply of Desktop  and printers,,,,,,,Complete,,," 172,500.00 ",,missing voucher,√  ,,
Halfatu Enterprises Limited,Recurrent,supply of stationeries,2158104/5/6," 135,000.00 ",023,12/14/2016,42533,13/12/2016,Complete,"135,000.00",," 135,000.00 ",,the whole LPO amount is not paid. The document are originals,√  ,,
Halfatu Enterprises Ltd,Recurrent,stastioneries,2171268," 195,570.00 ",5,16/2/2014,,,Complete,"195,570.00",," 195,570.00 ",,,√  ,,
Hamogu Construction ,Recurrent,Payment for Supply of Office Furniture,2159218," 500,000.00 ",001,3/8/2016,,,Complete,"500,000.00",," 500,000.00 ",Complete,photocopy attached,√  ,,
Horizon Technology,Recurrent,Printing of T-Shirts,1198493," 500,000.00 ",5094,4/29/2016,22/04/2016,29/04/2016,Complete,"500,000.00", -   ," 500,000.00 ",,original,√  ,,
Horizon's Technology,Recurrent,Repair and servicing of printers,1198151," 40,000.00 ",5070,12/21/2015,,,Complete,"40,000.00", -   ," 40,000.00 ",,original,√  ,,
Hussein Dairies Ltd,Recurrent,Supply Milk,2206011,,not attached,n/a,,,Complete,,," 71,245.00 ",,,X,,
Hussein K Golicha ,Recurrent,Rent Sub County Admin Office - Merti,ICG/RENT/2016/2017," 840,000.00 ",                    028,1/12/2017,,,Complete,"840,000.00", -   ," 840,000.00 ",,original document,√  ,,
Incoe Auto Spares,Recurrent,Repair and servicing of motovehicle,1201237," 355,000.00 ",1609,6/7/2017,,,Complete,"355,000.00",," 355,000.00 ",,,√  ,,
Incoe Auto Spares,Recurrent,repair of motor vehicle and supply of tyres balance,2273250,,918,not dated,,,Complete,, -   ," 175,000.00 ",,,X,,
Incoe Auto Spares,Recurrent,Supply of tyres 10 no. ,2196710," 485,000.00 ",749,6/30/2015,,,Complete,"485,000.00", -   ," 485,000.00 ",,original document,√  ,,
Incoe Auto Spares,Recurrent,supply of tubes and tyres,2196700," 808,500.00 ",1463,Not Dated,16/11/2016,nil,Complete,"805,500.00", -   ," 808,500.00 ",,original,√  ,,
Incoe Auto Spares,Recurrent,Repair of motovehicle,,,,,,,Complete,,," 410,000.00 ",,,X,,
Incoe Auto Spares,Recurrent,Minor repairs motor vehicles,1508524," 56,200.00 ",821,20/11/2017,,,Complete,"56,200.00",," 56,200.00 ",,,X,,
Incoe Auto Spares ,Recurrent,Repair of motorvehicle,1201235/83011760," 830,000.00 ",1606/7,6/7/2017,,,Complete,"830,000.00", -   ," 830,000.00 ",,original support documents attached,√  ,,
Incoe Auto Spares ,Recurrent,Car Hire border patrol Isiolo - Kinna - Meru 18th - 30th June 2015,1027247," 2,625,000.00 ",748,6/30/2015,,,Complete,"2,625,000.00", -   ," 2,625,000.00 ",,original document,√  ,,
IncoeAuto Spares,Recurrent,repair of motor Vehicle KBY 077 C,1201202," 120,000.00 ",1606,2/15/2017,,,Complete,"120,000.00", -   ," 120,000.00 ",,original document,√  ,,
IncoeAuto Spares,Recurrent,Supply of tyres 12 no. and tubes  ,2635521," 461,000.00 ",788,1/27/2016,,,Complete,"461,000.00", -   ," 461,000.00 ",,original document,√  ,,
Intercity Secure Homes Limited,Recurrent,Provision of security services at ATI 2012-2014,41," 632,245.00 ",Various,9/29/2016,,,Complete,"632,245.00",," 632,245.00 ",,,√  ,,
Iqra Company Ltd,Development,Renovation of Merti Health Centre,1198220,,6,5/17/2016,,,Complete,,," 1,600,000.00 ",,,X,,
Iqra Company Ltd,Development,Supply of non-phamaceutical To Isiolo County Referral Hospital,2273306,,17,Not Dated,,,Complete,,," 2,400,500.00 ",,,X,,
Iqra Company Ltd,Development,Repair and servicing of Borehole at Bisan Biliqo and Yamicha,1201219," 3,374,440.00 ",28,5/17/2017,20/4/2017,30/6/2017,Complete,"3,374,440.00", -   ," 3,374,440.00 ",ORIGINAL,,√  ,,
Isiolo Eco Resort Enterprises Ltd,Development,Consultancy services,ICG/RFP/2016/17," 3,200,000.00 ",008,9/8/2016,,,Complete,"3,200,000.00",," 3,200,000.00 ",,Original,√  ,,
Isiolo Highway Motors,Recurrent,Repair and servicing of moto cycles GK A855T and GKA357T,1198150," 53,000.00 ",077,20/04/207,,,Complete,"53,000.00",," 53,000.00 ",,,√  ,,
Isiolo Highway Motors,Recurrent,Repair and servicing of motovehicle KUL 357,1335802," 739,000.00 ",058,5/29/2015,,,Complete,"739,000.00", -   ," 739,000.00 ",,original,√  ,,
Isiolo Highway Motors,Recurrent,Repair and servicing of motovehicle KBY 772 C,1335803," 376,430.00 ",057,7/5/2015,,,Complete,"376,430.00", -   ," 376,430.00 ",,original,√  ,,
Isiolo Highway Motors,Recurrent,Major repair of motor Vehicle KAH 021 Y Tipper lorry ,2206319," 406,000.00 ",10,10/6/2015,,,Complete,"406,000.00", -   ," 406,000.00 ",,original document,√  ,,
Isiolo Highway Motors,Recurrent,"Reiforcemnt of amoury, Fitting Highflood light",1027132," 700,000.00 ",6,6/24/2015,,,Complete,"700,000.00", -   ," 700,000.00 ",,original document,√  ,,
Isiolo Highway motors,Recurrent,repair of motor Vehicle KCA 857F,1201130," 60,000.00 ",029,4/24/2016,,,Complete,"60,000.00", -   ," 60,000.00 ",,original document,√  ,,
Isiolo highway motors,Recurrent,Major repair of motor Vehicle KAV 342E,1201099," 304,000.00 ",31,5/12/2016,,,Complete,"304,000.00", -   ," 304,000.00 ",,original document,√  ,,
Isiolo Highway Motors,Recurrent,repair of motorvehicle,1201223," 117,000.00 ",078,20/05/2017,17/05/2017,24/05/2017,Complete,"117,000.00",," 117,000.00 ",,the whole LPO amount is not paid. The document are originals,√  ,,
Isiolo Highway motors ,Recurrent,repair of motor Vehicle -KCA 857F,1335725," 100,000.00 ",36,9/30/2016,,,Complete,"100,000.00", -   ," 100,000.00 ",,original document,√  ,,
Isiolo Highway Motors ,Recurrent,Motor vehicle repair and services,1198149," 190,000.00 ",085,4/20/2017,,,Complete,"190,000.00",," 190,000.00 ",,Original,√  ,,
Isiolo Highway Motors & Eng. Works,,Repair & service of Vehicle KAV 342E,1335808," 312,000.00 ",073,3/22/2017,,,Complete,"312,000.00",," 312,000.00 ",,Original,√  ,,
Isiolo Highway Motors & Engineering,,Repair and Service of GKA 019U,1201185," 220,000.00 ",027,12/4/2016,42373,42708,Complete,"220,000.00",," 220,000.00 ",,the whole contract amount was not paid,√  ,,
Isiolo Office Supplies,Recurrent,Supply of stationeries,2206026," 405,500.00 ",872,3/8/2017,20/02/2017,42950,Complete,"405,500.00", -   ," 405,500.00 ",,original,√  ,,
Isiolo tena general supplies,Recurrent,Food ration,2635580," 7,090,000.00 ",027,12/1/2016,,,Complete,"7,090,000.00",," 7,090,000.00 ",,original document,√  ,,
IsioloTena General Suppliers,Development,Relief food,2635869," 6,610,000.00 ",208,1/30/2017,,,Complete,"6,610,000.00", -   ," 6,610,000.00 ",,original document,√  ,,
IsioloTena General Supplies,Development,Supply Relief food Chari Ward,2635870," 8,102,000.00 ",203,1/30/2017,,,Complete,"8,102,000.00", -   ," 8,102,000.00 ",,original document,√  ,,
Issah Investments Ltd,Development,Hospital Beds balance payment,2159180," 1,980,000.00 ",501,5/6/2016,,42526,Complete,"1,980,000.00", -   ," 980,000.00 ",,original,√  ,,
Jamartech Ventures Limited,Recurrent,renovation and repair of old slaughter house,ICG/EMERG/SEW/2016/17," 2,396,980.00 ",109,8/20/2016,42515,,Complete,"2,396,980.00", -   ," 2,396,980.00 ",,,√  ,,
Jamason General Contractors,Development,Construction of latrines at Pepo la Tumaini,not attached," 1,398,646.80 ",8,not dated,43009,23/10/2017,Complete,"1,398,046.00", -   ," 617,925.00 ",,original,√  ,,
Japko General suppliers,Recurrent,Supply of printed materials,2273330," 1,350,000.00 ",16,9/27/2016,23/02/2017,28/02/2017,Complete,"1,350,000.00", -   ," 1,350,000.00 ",,original,√  ,,
Japko General Suppliers,Recurrent,Supply of printed materials,2273329," 850,000.00 ",17,9/23/2016,23/02/2017,28/02/2017,Complete,"850,000.00", -   ," 850,000.00 ",,original,√  ,,
Japko General Suppliers,Recurrent,supply of sanitary and   cleaning materials,3011837," 510,000.00 ",10,6/24/2016,22/3/2017,30/03/2017,Complete,"510,000.00", -   ," 510,000.00 ",,original,√  ,,
Japko General Suppliers,Recurrent,Supply of printed materials,2273302," 350,000.00 ",19,2/3/2017,42768,31/03/2017,Complete,"350,000.00", -   ," 350,000.00 ",,original,√  ,,
Japko General Supplies,Recurrent,Supply of printed materials ,2273301," 350,000.00 ",18,Not Dated,42768,42769,Complete,"350,000.00", -   ," 350,000.00 ",,original,√  ,,
Jatim Engineering,Recurrent,"supply of 3 phase motor, spring kit, heavy gauge socket and electrode cable, ",2196780,,2032,12/12/2015,42288,30/6/2016,Complete,"141,700.00", N/A ," 141,700.00 ",ORIGINAL,,√  ,,
Jatim Engineering,Recurrent,Servicing of Ngaremara water supply gensets,975774,,989,28/16/2014,23/6/2014,30/6/2014,Complete,"159,000.00", N/A ," 159,000.00 ",ORIGINAL,,√  ,,
Jayyidea Enterprises,Recurrent,Printing services,2273210/11," 237,000.00 ",134,6/26/2016,,,Complete,"237,000.00", -   ," 237,000.00 ",,original document,√  ,,
Jayyidea Enterprises ,Recurrent,Printing of T-shirts and  supply of Banners- Anniversary Clebrations,2159460," 1,250,000.00 ",134,6/26/2016,,,Complete,"1,250,000.00", -   ," 1,250,000.00 ",,original document,√  ,,
Jemax General Supplies,Recurrent,supply of cleaning materials,1335633," 100,000.00 ",022,2/13/2017,,,Complete,"100,000.00",," 100,000.00 ",,,√  ,,
